"sku","name","category","category_label","unit","price","image","hero_image","story","badge","hover_image"
"ML-BW93","9""×9"" Three Compartment Clear & Black Food Container","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","57.00","/assets/catalog/item-058.png","","","",""
"ML-BW96","9""×6"" One Compartment Clear & Black Food Container","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","43.00","/assets/catalog/item-059.png","","","",""
"WH05 (BOPS)","5"" (Clear) fog res.","hinged-to-go-containers","Hinged To-Go Containers","400 PCS","36.00","/assets/catalog/item-060.png","","","",""
"WH06 (BOPS)","6""(CLEAR)FOG res.","hinged-to-go-containers","Hinged To-Go Containers","400 PCS","40.00","/assets/catalog/item-061.png","","","",""
"WH81 (BOPS)","8""(CLEAR)FOG res.","hinged-to-go-containers","Hinged To-Go Containers","200 PCS","42.00","/assets/catalog/item-062.png","","","",""
"WH91 (BOPS)","9""(CLEAR)FOG res.","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","48.00","/assets/catalog/item-063.png","","","",""
"CY- PFP08","8 oz Paper Food Pail 2.8""*2.4""*2.5""","kraft-boxes-pails-food-trays","Kraft Boxes, Pails & Food Trays","500 PCS","23.00","/assets/catalog/item-064.png","","","",""
"CY- PFP16","16 oz Paper Food Pail 3.7""*3.1""*3.3""","kraft-boxes-pails-food-trays","Kraft Boxes, Pails & Food Trays","400 PCS","29.00","/assets/catalog/item-065.png","","","",""
"CY- PFP26","26 oz Paper Food Pail 4.1""*3.7""*4""","kraft-boxes-pails-food-trays","Kraft Boxes, Pails & Food Trays","400 PCS","38.00","/assets/catalog/item-066.png","","","",""
"CY- PFP32","32 oz Paper Food Pail 4.7""*3.9""*4.3""","kraft-boxes-pails-food-trays","Kraft Boxes, Pails & Food Trays","400 PCS","46.00","/assets/catalog/item-067.png","","","",""
"CY- KTB1","#1 Kraft Take-out Box 5""*4.5""*2.5""","kraft-boxes-pails-food-trays","Kraft Boxes, Pails & Food Trays","450 PCS","41.00","/assets/catalog/item-068.png","","","",""
"CY- KTB2","#2 Kraft Take-out Box 8.5""*6.25""*1.875""","kraft-boxes-pails-food-trays","Kraft Boxes, Pails & Food Trays","200 PCS","34.00","/assets/catalog/item-069.png","","","",""
"CY- KTB3","#3 Kraft Take-out Box 8.5""*6.25""*2.5""","kraft-boxes-pails-food-trays","Kraft Boxes, Pails & Food Trays","200 PCS","41.00","/assets/catalog/item-070.png","","","",""
"CY- KTB4","#4 Kraft Take-out Box 8.5""*6.25""*3.5""","kraft-boxes-pails-food-trays","Kraft Boxes, Pails & Food Trays","160 PCS","43.00","/assets/catalog/item-071.png","","","",""
"CY- KTB8","#8 Kraft Take-out Box 6.75""*5.5""*2.5""","kraft-boxes-pails-food-trays","Kraft Boxes, Pails & Food Trays","300 PCS","40.00","/assets/catalog/item-072.png","","","",""
"1LB","1 lb White/red Food Tray 3.8""*2.2""*1.7""","kraft-boxes-pails-food-trays","Kraft Boxes, Pails & Food Trays","1000 PCS","20.00","/assets/catalog/item-073.png","","","",""
"2LB","2 lb White/red Food Tray 4.5""*2.7""*1.6""","kraft-boxes-pails-food-trays","Kraft Boxes, Pails & Food Trays","1000 PCS","23.00","/assets/catalog/item-074.png","","","",""
"3LB","3 lb White/red Food Tray 5.4""*3.1""*2.1""","kraft-boxes-pails-food-trays","Kraft Boxes, Pails & Food Trays","500 PCS","20.00","/assets/catalog/item-075.png","","","",""
"5LB","5 lb White/red Food Tray 6.5""*4""*2.4""","kraft-boxes-pails-food-trays","Kraft Boxes, Pails & Food Trays","500 PCS","28.00","/assets/catalog/item-076.png","","","",""
"PLATE6","Compostable Paper Plate 6","paper-plates","Paper Plates","125pc*8 bags","35.00","/assets/catalog/item-077.png","","","",""
"YP070","Compostable Paper Plate 7","paper-plates","Paper Plates","1000PCS","48.00","/assets/catalog/item-078.png","","","",""
"PLATE9","Compostable Paper Plate 9","paper-plates","Paper Plates","125pc*4 bags","39.00","/assets/catalog/item-079.png","","","",""
"PLATE10","Compostable Paper Plate 10","paper-plates","Paper Plates","125pc*4 bags","51.00","/assets/catalog/item-080.png","","","",""
"SZ-306","10.5""x8.1""x2""","sushi-containers-trays","Sushi Containers & Trays","200 PCS","65.00","/assets/catalog/item-081.png","","","",""
"SZ-307","10.6""x10.6""x2""","sushi-containers-trays","Sushi Containers & Trays","100 PCS","46.00","/assets/catalog/item-082.png","","","",""
"SZ-810","7.2""x5.1""x1.8","sushi-containers-trays","Sushi Containers & Trays","500 PCS","58.00","/assets/catalog/item-083.png","","","",""
"SZ-815","8""x5.2""x1.8""","sushi-containers-trays","Sushi Containers & Trays","450 PCS","61.00","/assets/catalog/item-084.png","","","",""
"SZ-820","8.3""x5.7""x1.8","sushi-containers-trays","Sushi Containers & Trays","400 PCS","61.00","/assets/catalog/item-085.png","","","",""
"SZ-830","10.4""x7.9""x1.9","sushi-containers-trays","Sushi Containers & Trays","200 PCS","53.00","/assets/catalog/item-086.png","","","",""
"SZ-01","#1 PET Sushi Container with Lid 6.5""×3.5""×2""","sushi-containers-trays","Sushi Containers & Trays","400 PCS","32.00","/assets/catalog/item-087.png","","","",""
